Status,Nama,GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
SMA N,SMAN 4 Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA N,SMAN 7 Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA N,SMAN 2 Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA N,SMAN 6 Cirebon,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
SMA N,SMAN 1 Cirebon,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
SMA N,SMAN 8 Cirebon,IDN.9.17.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Lemahwungkuk,NA,NA,Kecamatan,Sub-district,"3274020",NA
SMA N,SMAN 3 Cirebon,IDN.9.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Harjamukti,NA,NA,Kecamatan,Sub-district,"3274010",NA
SMA N,SMAN 9 Cirebon,IDN.9.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Harjamukti,NA,NA,Kecamatan,Sub-district,"3274010",NA
SMA N,SMAN 5 Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Advent,IDN.9.17.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Lemahwungkuk,NA,NA,Kecamatan,Sub-district,"3274020",NA
SMA S,SMA Cokroaminoto,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
SMA S,SMAIS Al Azhar,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
SMA S,SMA Kartika 3,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Kartika 5,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMAK BPK Penabur,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Santa Maria 1,IDN.9.17.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Lemahwungkuk,NA,NA,Kecamatan,Sub-district,"3274020",NA
SMA S,SMA Telekomuikasi,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Taman Siswa,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Widya Utama,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMA S,SMA Windu Wacana,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Cendekia,IDN.9.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Harjamukti,NA,NA,Kecamatan,Sub-district,"3274010",NA
SMK S,SMK Alhidayah,IDN.9.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Harjamukti,NA,NA,Kecamatan,Sub-district,"3274010",NA
SMK S,SMK Telekomunikasi,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK N,SMKN 1 Kota Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Presiden Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Kartika,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK N,SMKN 2 Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Cipto Cirebon,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Taman Siswa,IDN.9.17.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Pekalipan,NA,NA,Kecamatan,Sub-district,"3274030",NA
SMK S,SMK NU Kota Cirebon,IDN.9.17.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Lemahwungkuk,NA,NA,Kecamatan,Sub-district,"3274020",NA
SMK S,SMK Pariwisata,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Informatika,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Muhammadiyah,IDN.9.17.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Lemahwungkuk,NA,NA,Kecamatan,Sub-district,"3274020",NA
SMK S,SMK Nasional,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Veteran,IDN.9.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kesambi,NA,NA,Kecamatan,Sub-district,"3274040",NA
SMK S,SMK Wahidin,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
SMA S,SMA Nurusshidiq,IDN.9.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,NA,IDN.9.17_1,Kota Cirebon,NA,Kejaksan,NA,NA,Kecamatan,Sub-district,"3274050",NA
